"","country","year","key","value"
"1001","Israel",2008,"p5",2.83
"1002","Israel",2008,"p6",0.33
"1003","Russia",2007,"p1",7
"1004","Russia",2007,"p2",7
"1005","Russia",2007,"p3",2
"1006","Russia",2007,"p4",7
"1007","Russia",2007,"p5",6.17
"1008","Russia",2007,"p6",1.5
"1009","China",2007,"p1",6
"1010","China",2007,"p2",7
"1011","China",2007,"p3",2.83
"1012","China",2007,"p4",6.83
"1013","China",2007,"p5",7
"1014","China",2007,"p6",0.5
"1015","South Korea",2007,"p1",6.33
"1016","South Korea",2007,"p2",6.83
"1017","South Korea",2007,"p3",1.5
"1018","South Korea",2007,"p4",7
"1019","South Korea",2007,"p5",6
"1020","South Korea",2007,"p6",0.33
"1021","United States of America",2007,"p1",6.83
"1022","United States of America",2007,"p2",6
"1023","United States of America",2007,"p3",1
"1024","United States of America",2007,"p4",7
"1025","United States of America",2007,"p5",4.33
"1026","United States of America",2007,"p6",0.67
"1027","Taiwan",2007,"p1",6.83
"1028","Taiwan",2007,"p2",6.33
"1029","Taiwan",2007,"p3",0.33
"1030","Taiwan",2007,"p4",7
"1031","Taiwan",2007,"p5",4
"1032","Taiwan",2007,"p6",0.33
"1033","Romania",2007,"p1",6
"1034","Romania",2007,"p2",4.17
"1035","Romania",2007,"p3",0.67
"1036","Romania",2007,"p4",7
"1037","Romania",2007,"p5",6.5
"1038","Romania",2007,"p6",0
"1039","Italy",2007,"p1",5.17
"1040","Italy",2007,"p2",3.33
"1041","Italy",2007,"p3",0.17
"1042","Italy",2007,"p4",7
"1043","Italy",2007,"p5",2.33
"1044","Italy",2007,"p6",1.33
"1045","Canada",2007,"p1",5.33
"1046","Canada",2007,"p2",3.5
"1047","Canada",2007,"p3",0
"1048","Canada",2007,"p4",6.83
"1049","Canada",2007,"p5",0.67
"1050","Canada",2007,"p6",0
"1051","United Kingdom",2007,"p1",5.33
"1052","United Kingdom",2007,"p2",1.67
"1053","United Kingdom",2007,"p3",0.33
"1054","United Kingdom",2007,"p4",7
"1055","United Kingdom",2007,"p5",1.17
"1056","United Kingdom",2007,"p6",0.33
"1057","Israel",2007,"p1",5.17
"1058","Israel",2007,"p2",0.17
"1059","Israel",2007,"p3",0
"1060","Israel",2007,"p4",5.83
"1061","Israel",2007,"p5",0.67
"1062","Israel",2007,"p6",0
"1063","China",2006,"p1",7
"1064","China",2006,"p2",7
"1065","China",2006,"p3",5.83
"1066","China",2006,"p4",6.83
"1067","China",2006,"p5",6.33
"1068","China",2006,"p6",2.67
"1069","Russia",2006,"p1",7
"1070","Russia",2006,"p2",6
"1071","Russia",2006,"p3",1.83
"1072","Russia",2006,"p4",7
"1073","Russia",2006,"p5",4.67
"1074","Russia",2006,"p6",2.5
"1075","South Korea",2006,"p1",7
"1076","South Korea",2006,"p2",3.33
"1077","South Korea",2006,"p3",5
"1078","South Korea",2006,"p4",7
"1079","South Korea",2006,"p5",4.83
"1080","South Korea",2006,"p6",1.17
"1081","United States of America",2006,"p1",7
"1082","United States of America",2006,"p2",6.83
"1083","United States of America",2006,"p3",1.17
"1084","United States of America",2006,"p4",6.83
"1085","United States of America",2006,"p5",3.33
"1086","United States of America",2006,"p6",0.5
"1087","Romania",2006,"p1",7
"1088","Romania",2006,"p2",4
"1089","Romania",2006,"p3",2.83
"1090","Romania",2006,"p4",6.83
"1091","Romania",2006,"p5",4.5
"1092","Romania",2006,"p6",0.17
"1093","Taiwan",2006,"p1",7
"1094","Taiwan",2006,"p2",4.5
"1095","Taiwan",2006,"p3",2.33
"1096","Taiwan",2006,"p4",6.67
"1097","Taiwan",2006,"p5",2.17
"1098","Taiwan",2006,"p6",0
"1099","Italy",2006,"p1",6.67
"1100","Italy",2006,"p2",4.33
"1101","Italy",2006,"p3",0.17
"1102","Italy",2006,"p4",6.83
"1103","Italy",2006,"p5",3.67
"1104","Italy",2006,"p6",0.33
"1105","Canada",2006,"p1",7
"1106","Canada",2006,"p2",4.5
"1107","Canada",2006,"p3",1.17
"1108","Canada",2006,"p4",6.83
"1109","Canada",2006,"p5",0.83
"1110","Canada",2006,"p6",0.17
"1111","United Kingdom",2006,"p1",7
"1112","United Kingdom",2006,"p2",3.67
"1113","United Kingdom",2006,"p3",0.17
"1114","United Kingdom",2006,"p4",6.17
"1115","United Kingdom",2006,"p5",2.5
"1116","United Kingdom",2006,"p6",0
"1117","Israel",2006,"p1",6.67
"1118","Israel",2006,"p2",2.17
"1119","Israel",2006,"p3",1
"1120","Israel",2006,"p4",6.83
"1121","Israel",2006,"p5",0.83
"1122","Israel",2006,"p6",0.67
"1123","China",2005,"p1",5.33
"1124","China",2005,"p2",7
"1125","China",2005,"p3",5.83
"1126","China",2005,"p4",7
"1127","China",2005,"p5",7
"1128","China",2005,"p6",7
"1129","United States of America",2005,"p1",4.5
"1130","United States of America",2005,"p2",6
"1131","United States of America",2005,"p3",5.83
"1132","United States of America",2005,"p4",7
"1133","United States of America",2005,"p5",6.33
"1134","United States of America",2005,"p6",5.83
"1135","Russia",2005,"p1",7
"1136","Russia",2005,"p2",7
"1137","Russia",2005,"p3",3.33
"1138","Russia",2005,"p4",7
"1139","Russia",2005,"p5",5.83
"1140","Russia",2005,"p6",5.17
"1141","South Korea",2005,"p1",4.67
"1142","South Korea",2005,"p2",7
"1143","South Korea",2005,"p3",4.5
"1144","South Korea",2005,"p4",7
"1145","South Korea",2005,"p5",7
"1146","South Korea",2005,"p6",3.17
"1147","Romania",2005,"p1",5.5
"1148","Romania",2005,"p2",7
"1149","Romania",2005,"p3",3.67
"1150","Romania",2005,"p4",4.83
"1151","Romania",2005,"p5",7
"1152","Romania",2005,"p6",3.83
"1153","Taiwan",2005,"p1",5.17
"1154","Taiwan",2005,"p2",5.83
"1155","Taiwan",2005,"p3",3.5
"1156","Taiwan",2005,"p4",6
"1157","Taiwan",2005,"p5",7
"1158","Taiwan",2005,"p6",4.17
"1159","United Kingdom",2005,"p1",3.67
"1160","United Kingdom",2005,"p2",7
"1161","United Kingdom",2005,"p3",3.33
"1162","United Kingdom",2005,"p4",7
"1163","United Kingdom",2005,"p5",3.5
"1164","United Kingdom",2005,"p6",2
"1165","Canada",2005,"p1",5.17
"1166","Canada",2005,"p2",5.17
"1167","Canada",2005,"p3",1.5
"1168","Canada",2005,"p4",4.83
"1169","Canada",2005,"p5",3.33
"1170","Canada",2005,"p6",2
"1171","Italy",2005,"p1",3
"1172","Italy",2005,"p2",6.67
"1173","Italy",2005,"p3",0
"1174","Italy",2005,"p4",5.83
"1175","Italy",2005,"p5",2
"1176","Italy",2005,"p6",2.5
"1177","Israel",2005,"p1",2.83
"1178","Israel",2005,"p2",5
"1179","Israel",2005,"p3",0.17
"1180","Israel",2005,"p4",4.5
"1181","Israel",2005,"p5",1.17
"1182","Israel",2005,"p6",2.83
"1183","China",2004,"p1",6.17
"1184","China",2004,"p2",6.83
"1185","China",2004,"p3",3.5
"1186","China",2004,"p4",7
"1187","China",2004,"p5",6.17
"1188","China",2004,"p6",7
"1189","United States of America",2004,"p1",6.67
"1190","United States of America",2004,"p2",6.83
"1191","United States of America",2004,"p3",3.33
"1192","United States of America",2004,"p4",7
"1193","United States of America",2004,"p5",5.83
"1194","United States of America",2004,"p6",5.67
"1195","Russia",2004,"p1",7
"1196","Russia",2004,"p2",5.67
"1197","Russia",2004,"p3",4.17
"1198","Russia",2004,"p4",7
"1199","Russia",2004,"p5",5.83
"1200","Russia",2004,"p6",4.5
"1201","Taiwan",2004,"p1",5.5
"1202","Taiwan",2004,"p2",6.5
"1203","Taiwan",2004,"p3",3.17
"1204","Taiwan",2004,"p4",7
"1205","Taiwan",2004,"p5",5.67
"1206","Taiwan",2004,"p6",3.83
"1207","Romania",2004,"p1",6.67
"1208","Romania",2004,"p2",5.5
"1209","Romania",2004,"p3",3.17
"1210","Romania",2004,"p4",7
"1211","Romania",2004,"p5",3.5
"1212","Romania",2004,"p6",3.5
"1213","South Korea",2004,"p1",6.5
"1214","South Korea",2004,"p2",5.67
"1215","South Korea",2004,"p3",2.67
"1216","South Korea",2004,"p4",6.17
"1217","South Korea",2004,"p5",5
"1218","South Korea",2004,"p6",1.67
"1219","Israel",2004,"p1",6.83
"1220","Israel",2004,"p2",4
"1221","Israel",2004,"p3",0.33
"1222","Israel",2004,"p4",7
"1223","Israel",2004,"p5",3.33
"1224","Israel",2004,"p6",3
"1225","United Kingdom",2004,"p1",6
"1226","United Kingdom",2004,"p2",4.83
"1227","United Kingdom",2004,"p3",1.33
"1228","United Kingdom",2004,"p4",7
"1229","United Kingdom",2004,"p5",1.83
"1230","United Kingdom",2004,"p6",1.33
"1231","Canada",2004,"p1",5.83
"1232","Canada",2004,"p2",4.17
"1233","Canada",2004,"p3",3
"1234","Canada",2004,"p4",5.5
"1235","Canada",2004,"p5",1.83
"1236","Canada",2004,"p6",1.67
"1237","Italy",2004,"p1",4.67
"1238","Italy",2004,"p2",1.33
"1239","Italy",2004,"p3",0.83
"1240","Italy",2004,"p4",3
"1241","Italy",2004,"p5",1.5
"1242","Italy",2004,"p6",0.17
"1243","China",2003,"p1",7
"1244","China",2003,"p2",6.67
"1245","China",2003,"p3",4.67
"1246","China",2003,"p4",7
"1247","China",2003,"p5",7
"1248","China",2003,"p6",2.83
"1249","United States of America",2003,"p1",7
"1250","United States of America",2003,"p2",6
"1251","United States of America",2003,"p3",3
"1252","United States of America",2003,"p4",7
"1253","United States of America",2003,"p5",6
"1254","United States of America",2003,"p6",2.33
"1255","Russia",2003,"p1",6.17
"1256","Russia",2003,"p2",5.33
"1257","Russia",2003,"p3",2.33
"1258","Russia",2003,"p4",7
"1259","Russia",2003,"p5",5
"1260","Russia",2003,"p6",2
"1261","South Korea",2003,"p1",5.83
"1262","South Korea",2003,"p2",5.5
"1263","South Korea",2003,"p3",0.17
"1264","South Korea",2003,"p4",6.5
"1265","South Korea",2003,"p5",5.17
"1266","South Korea",2003,"p6",3
"1267","Romania",2003,"p1",6.67
"1268","Romania",2003,"p2",4.5
"1269","Romania",2003,"p3",0.5
"1270","Romania",2003,"p4",5.83
"1271","Romania",2003,"p5",4.67
"1272","Romania",2003,"p6",1.67
"1273","United Kingdom",2003,"p1",7
"1274","United Kingdom",2003,"p2",4.33
"1275","United Kingdom",2003,"p3",0
"1276","United Kingdom",2003,"p4",6.67
"1277","United Kingdom",2003,"p5",2.83
"1278","United Kingdom",2003,"p6",0.5
"1279","Canada",2003,"p1",4.83
"1280","Canada",2003,"p2",4.33
"1281","Canada",2003,"p3",2.33
"1282","Canada",2003,"p4",6
"1283","Canada",2003,"p5",2
"1284","Canada",2003,"p6",0.33
"1285","Taiwan",2003,"p1",5.33
"1286","Taiwan",2003,"p2",3.17
"1287","Taiwan",2003,"p3",0
"1288","Taiwan",2003,"p4",5.83
"1289","Taiwan",2003,"p5",4.33
"1290","Taiwan",2003,"p6",0.33
"1291","Israel",2003,"p1",5
"1292","Israel",2003,"p2",5.4
"1293","Israel",2003,"p3",0
"1294","Israel",2003,"p4",6.2
"1295","Israel",2003,"p5",1
"1296","Israel",2003,"p6",3
"1297","Italy",2003,"p1",3.5
"1298","Italy",2003,"p2",0.83
"1299","Italy",2003,"p3",0
"1300","Italy",2003,"p4",3.67
"1301","Italy",2003,"p5",0.33
"1302","Italy",2003,"p6",0
"1303","China",2002,"p1",6.83
"1304","China",2002,"p2",6.83
"1305","China",2002,"p3",4
"1306","China",2002,"p4",7
"1307","China",2002,"p5",7
"1308","China",2002,"p6",3.67
"1309","Russia",2002,"p1",7
"1310","Russia",2002,"p2",7
"1311","Russia",2002,"p3",2.67
"1312","Russia",2002,"p4",7
"1313","Russia",2002,"p5",7
"1314","Russia",2002,"p6",3.33
"1315","United States of America",2002,"p1",6.33
"1316","United States of America",2002,"p2",5.67
"1317","United States of America",2002,"p3",1.67
"1318","United States of America",2002,"p4",4
"1319","United States of America",2002,"p5",5.67
"1320","United States of America",2002,"p6",5.17
"1321","South Korea",2002,"p1",5.17
"1322","South Korea",2002,"p2",6
"1323","South Korea",2002,"p3",1.5
"1324","South Korea",2002,"p4",7
"1325","South Korea",2002,"p5",6.17
"1326","South Korea",2002,"p6",1.33
"1327","Taiwan",2002,"p1",6.5
"1328","Taiwan",2002,"p2",7
"1329","Taiwan",2002,"p3",1.67
"1330","Taiwan",2002,"p4",7
"1331","Taiwan",2002,"p5",4.33
"1332","Taiwan",2002,"p6",0.33
"1333","Romania",2002,"p1",4.83
"1334","Romania",2002,"p2",6.33
"1335","Romania",2002,"p3",1.83
"1336","Romania",2002,"p4",6.83
"1337","Romania",2002,"p5",5.33
"1338","Romania",2002,"p6",1
"1339","Canada",2002,"p1",5
"1340","Canada",2002,"p2",4.17
"1341","Canada",2002,"p3",1.83
"1342","Canada",2002,"p4",7
"1343","Canada",2002,"p5",4.83
"1344","Canada",2002,"p6",0.83
"1345","Israel",2002,"p1",5.5
"1346","Israel",2002,"p2",5.83
"1347","Israel",2002,"p3",1.17
"1348","Israel",2002,"p4",5.17
"1349","Israel",2002,"p5",3.17
"1350","Israel",2002,"p6",0.83
"1351","United Kingdom",2002,"p1",5.33
"1352","United Kingdom",2002,"p2",4.33
"1353","United Kingdom",2002,"p3",0.67
"1354","United Kingdom",2002,"p4",5.5
"1355","United Kingdom",2002,"p5",3.33
"1356","United Kingdom",2002,"p6",0.17
"1357","Italy",2002,"p1",4.67
"1358","Italy",2002,"p2",3.5
"1359","Italy",2002,"p3",0.17
"1360","Italy",2002,"p4",5
"1361","Italy",2002,"p5",1.33
"1362","Italy",2002,"p6",0
"1363","China",2001,"p1",7
"1364","China",2001,"p2",6.67
"1365","China",2001,"p3",3.83
"1366","China",2001,"p4",7
"1367","China",2001,"p5",7
"1368","China",2001,"p6",6
"1369","Russia",2001,"p1",6.83
"1370","Russia",2001,"p2",4.67
"1371","Russia",2001,"p3",4.17
"1372","Russia",2001,"p4",7
"1373","Russia",2001,"p5",6.5
"1374","Russia",2001,"p6",3.5
"1375","United States of America",2001,"p1",6.83
"1376","United States of America",2001,"p2",5.17
"1377","United States of America",2001,"p3",4.67
"1378","United States of America",2001,"p4",7
"1379","United States of America",2001,"p5",5.5
"1380","United States of America",2001,"p6",3.5
"1381","South Korea",2001,"p1",7
"1382","South Korea",2001,"p2",7
"1383","South Korea",2001,"p3",1.5
"1384","South Korea",2001,"p4",7
"1385","South Korea",2001,"p5",6.5
"1386","South Korea",2001,"p6",1.83
"1387","Taiwan",2001,"p1",7
"1388","Taiwan",2001,"p2",6
"1389","Taiwan",2001,"p3",1.67
"1390","Taiwan",2001,"p4",4.67
"1391","Taiwan",2001,"p5",3.5
"1392","Taiwan",2001,"p6",0.67
"1393","Romania",2001,"p1",5.33
"1394","Romania",2001,"p2",1.67
"1395","Romania",2001,"p3",2.17
"1396","Romania",2001,"p4",6
"1397","Romania",2001,"p5",3.33
"1398","Romania",2001,"p6",3
"1399","Israel",2001,"p1",4.5
"1400","Israel",2001,"p2",3
"1401","Israel",2001,"p3",1.67
"1402","Israel",2001,"p4",3.33
"1403","Israel",2001,"p5",3.67
"1404","Israel",2001,"p6",2.67
"1405","Canada",2001,"p1",6.17
"1406","Canada",2001,"p2",1.33
"1407","Canada",2001,"p3",1.33
"1408","Canada",2001,"p4",4
"1409","Canada",2001,"p5",2.5
"1410","Canada",2001,"p6",1.33
"1411","United Kingdom",2001,"p1",3.33
"1412","United Kingdom",2001,"p2",1.33
"1413","United Kingdom",2001,"p3",0.5
"1414","United Kingdom",2001,"p4",5
"1415","United Kingdom",2001,"p5",2.83
"1416","United Kingdom",2001,"p6",0.17
"1417","Italy",2001,"p1",2
"1418","Italy",2001,"p2",0
"1419","Italy",2001,"p3",0.83
"1420","Italy",2001,"p4",5
"1421","Italy",2001,"p5",1.5
"1422","Italy",2001,"p6",0
"1423","China",2000,"p1",7
"1424","China",2000,"p2",7
"1425","China",2000,"p3",3.17
"1426","China",2000,"p4",6.5
"1427","China",2000,"p5",7
"1428","China",2000,"p6",5.67
"1429","Russia",2000,"p1",7
"1430","Russia",2000,"p2",6
"1431","Russia",2000,"p3",4.17
"1432","Russia",2000,"p4",6.33
"1433","Russia",2000,"p5",7
"1434","Russia",2000,"p6",5.33
"1435","United States of America",2000,"p1",6.33
"1436","United States of America",2000,"p2",6.67
"1437","United States of America",2000,"p3",4.5
"1438","United States of America",2000,"p4",6.5
"1439","United States of America",2000,"p5",3.67
"1440","United States of America",2000,"p6",3
"1441","South Korea",2000,"p1",7
"1442","South Korea",2000,"p2",6.67
"1443","South Korea",2000,"p3",2.5
"1444","South Korea",2000,"p4",4
"1445","South Korea",2000,"p5",5
"1446","South Korea",2000,"p6",3.5
"1447","Taiwan",2000,"p1",7
"1448","Taiwan",2000,"p2",7
"1449","Taiwan",2000,"p3",1.17
"1450","Taiwan",2000,"p4",6.67
"1451","Taiwan",2000,"p5",4.67
"1452","Taiwan",2000,"p6",0.83
"1453","Israel",2000,"p1",5.83
"1454","Israel",2000,"p2",7
"1455","Israel",2000,"p3",2.17
"1456","Israel",2000,"p4",4
"1457","Israel",2000,"p5",3.67
"1458","Israel",2000,"p6",0.5
"1459","Romania",2000,"p1",6.17
"1460","Romania",2000,"p2",5
"1461","Romania",2000,"p3",0.5
"1462","Romania",2000,"p4",2.5
"1463","Romania",2000,"p5",5
"1464","Romania",2000,"p6",4
"1465","Canada",2000,"p1",5.17
"1466","Canada",2000,"p2",3.83
"1467","Canada",2000,"p3",1.5
"1468","Canada",2000,"p4",4.17
"1469","Canada",2000,"p5",3.5
"1470","Canada",2000,"p6",0.5
"1471","United Kingdom",2000,"p1",4.5
"1472","United Kingdom",2000,"p2",1.83
"1473","United Kingdom",2000,"p3",0.83
"1474","United Kingdom",2000,"p4",5.33
"1475","United Kingdom",2000,"p5",2.67
"1476","United Kingdom",2000,"p6",0.83
"1477","Italy",2000,"p1",3.33
"1478","Italy",2000,"p2",2
"1479","Italy",2000,"p3",0.5
"1480","Italy",2000,"p4",3.17
"1481","Italy",2000,"p5",0.5
"1482","Italy",2000,"p6",0
